feature,perm_importance
koi_teq_num,0.14418798373343827
koi_depth_num,0.10559633127814942
koi_steff_err1_num,0.08371299575845023
koi_duration_num,0.06775372775372772
koi_slogg_num,0.034588416633871154
koi_steff_err2_num,0.030613712886440093
koi_period_err1_num,0.02832043377497919
koi_steff_num,0.028279220779220748
koi_slogg_err2_num,0.024041059950150833
koi_impact_err1_num,0.022738423192968628
koi_srad_err1_num,0.016828457737548607
koi_period_err2_num,0.015993484629848242
kepid_num,0.01571516026061478
dec_num,0.015073461891643658
koi_slogg_err1_num,0.01429325724780266
koi_model_snr_num,0.011458961913507338
koi_srad_err2_num,0.010964843237570476
koi_srad_num,0.009145458918186222
ra_num,0.007616970571515969
koi_tce_plnt_num_num,0.006430976430976398
