feature,weight_norm,perm_importance
koi_depth_num,2.586990562070944,0.10559633127814942
koi_srad_err2_num,2.435804942845778,0.010964843237570476
koi_duration_num,2.3645371540981803,0.06775372775372772
koi_teq_num,2.2264573452330096,0.14418798373343827
koi_impact_err1_num,2.1926017070891426,0.022738423192968628
koi_slogg_err2_num,2.1325171252419186,0.024041059950150833
koi_srad_err1_num,2.1261829776064753,0.016828457737548607
koi_period_err1_num,2.0979080973057265,0.02832043377497919
koi_slogg_num,2.0775920562638523,0.034588416633871154
koi_model_snr_num,2.01581095406219,0.011458961913507338
koi_steff_err2_num,1.9797085768289182,0.030613712886440093
koi_srad_num,1.9756538919761988,0.009145458918186222
koi_steff_num,1.9475423911310035,0.028279220779220748
koi_period_err2_num,1.9418918053553762,0.015993484629848242
koi_steff_err1_num,1.696675757920397,0.08371299575845023
koi_slogg_err1_num,1.695398386965809,0.01429325724780266
ra_num,1.5740706396122361,0.007616970571515969
dec_num,1.543902298079288,0.015073461891643658
koi_tce_plnt_num_num,1.333800928457722,0.006430976430976398
kepid_num,1.227052339506164,0.01571516026061478
